Mesh,Depth,Response,mean,lcl,ucl
small,shallow,BPUE,0.113690186917661,0,0.287477084145365
large,shallow,BPUE,0.53561360962832,0.27295557170792,0.855693320572606
small,deep,BPUE,0,0,0
large,deep,BPUE,0.442793219316028,0.140232570103766,0.811687804822063
small,shallow,CORM_PUE,0.114006484122585,0,0.287477084145365
large,shallow,CORM_PUE,0.358229421219776,0.161941684142941,0.61586441275686
small,deep,CORM_PUE,0,0,0
large,deep,CORM_PUE,0.184531236672509,0,0.46891367833901
small,shallow,GUIL_PUE,0,0,0
large,shallow,GUIL_PUE,0.135777322049961,0.033638387922331,0.262975440631015
small,deep,GUIL_PUE,0,0,0
large,deep,GUIL_PUE,0.25921626199953,0.0430104754728478,0.534863458910206
