Mitigation,Mesh,Depth,Response,mean,lcl,ucl
Control,small,shallow,BPUE,0.24010107595821,0,0.606032771982122
LEB,small,shallow,BPUE,0,0,0
Kite,small,shallow,BPUE,0,0,0
Control,large,shallow,BPUE,0.525912731959705,0.181975052135135,1.01744403803869
LEB,large,shallow,BPUE,0.940176892983166,0.146392600312519,2.07745618482583
Kite,large,shallow,BPUE,0.315218033232253,0.0611666709772873,0.676162343592955
Control,small,deep,BPUE,0,0,0
LEB,small,deep,BPUE,0,0,0
Kite,small,deep,BPUE,,,
Control,large,deep,BPUE,0.639518314863035,0.0632024162482687,1.32901182582441
LEB,large,deep,BPUE,0.103364755097925,0,0.307511171453565
Kite,large,deep,BPUE,0.445254615189092,0,1.01929232774709
Control,small,shallow,CPUE,126.914739716249,84.4132599197222,174.173482851178
LEB,small,shallow,CPUE,195.197698582771,110.794228569329,299.170873976639
Kite,small,shallow,CPUE,55.7299203762394,20.8954756618941,103.500232026768
Control,large,shallow,CPUE,63.7444898725995,42.3891195198309,90.1424911878767
LEB,large,shallow,CPUE,95.6217210100536,59.1845803797121,138.639352754392
Kite,large,shallow,CPUE,70.0951168237706,51.2938720681834,91.054384614165
Control,small,deep,CPUE,354.838912993855,195.50080273597,549.170704545117
LEB,small,deep,CPUE,171.928496011879,100.612038378791,256.390114746374
Kite,small,deep,CPUE,,,
Control,large,deep,CPUE,70.0213370035877,30.5986474457051,118.049889339182
LEB,large,deep,CPUE,68.3969618466867,41.5779417983601,101.636618105405
Kite,large,deep,CPUE,46.0005016195143,31.6573533995679,62.1981398873726
Control,small,shallow,CORM_PUE,0.238030082354543,0,0.606032771982122
LEB,small,shallow,CORM_PUE,0,0,0
Kite,small,shallow,CORM_PUE,0,0,0
Control,large,shallow,CORM_PUE,0.284401121882268,0.101490458870685,0.501137463681117
LEB,large,shallow,CORM_PUE,0.933222478574559,0.145821857457603,2.07244379751107
Kite,large,shallow,CORM_PUE,0.117635083113623,0,0.275253751717494
Control,small,deep,CORM_PUE,0,0,0
LEB,small,deep,CORM_PUE,0,0,0
Kite,small,deep,CORM_PUE,,,
Control,large,deep,CORM_PUE,0.246192119202216,0,0.728091835180055
LEB,large,deep,CORM_PUE,0.102462722328328,0,0.307511171453565
Kite,large,deep,CORM_PUE,0.160835101157499,0,0.481542219034428
Control,small,shallow,GUIL_PUE,0,0,0
LEB,small,shallow,GUIL_PUE,0,0,0
Kite,small,shallow,GUIL_PUE,0,0,0
Control,large,shallow,GUIL_PUE,0.150772631850923,0,0.348755577015121
LEB,large,shallow,GUIL_PUE,0,0,0
Kite,large,shallow,GUIL_PUE,0.194129250222503,0.012401983565698,0.497665051097622
Control,small,deep,GUIL_PUE,0,0,0
LEB,small,deep,GUIL_PUE,0,0,0
Kite,small,deep,GUIL_PUE,,,
Control,large,deep,GUIL_PUE,0.39829587915791,0,0.901739823591554
LEB,large,deep,GUIL_PUE,0,0,0
Kite,large,deep,GUIL_PUE,0.278723725282616,0,0.790266150401448
Control,small,shallow,GANN_PUE,0,0,0
LEB,small,shallow,GANN_PUE,0,0,0
Kite,small,shallow,GANN_PUE,0,0,0
Control,large,shallow,GANN_PUE,0.0923612244025634,0,0.278224393219892
LEB,large,shallow,GANN_PUE,0,0,0
Kite,large,shallow,GANN_PUE,0,0,0
Control,small,deep,GANN_PUE,0,0,0
LEB,small,deep,GANN_PUE,0,0,0
Kite,small,deep,GANN_PUE,,,
Control,large,deep,GANN_PUE,0,0,0
LEB,large,deep,GANN_PUE,0,0,0
Kite,large,deep,GANN_PUE,0,0,0
