NightSet,Mesh,Depth,Response,mean,lcl,ucl
0,small,shallow,BPUE,3.90E-06,0,9.92E-06
1,small,shallow,BPUE,0,0,0
0,large,shallow,BPUE,2.06E-05,1.18E-05,3.14E-05
1,large,shallow,BPUE,0,0,0
0,small,deep,BPUE,,,
1,small,deep,BPUE,,,
0,large,deep,BPUE,1.20E-05,0,3.57E-05
1,large,deep,BPUE,,,
0,small,shallow,CORM_PUE,3.95E-06,0,9.92E-06
1,small,shallow,CORM_PUE,0,0,0
0,large,shallow,CORM_PUE,1.31E-05,6.50E-06,2.13E-05
1,large,shallow,CORM_PUE,0,0,0
0,small,deep,CORM_PUE,,,
1,small,deep,CORM_PUE,,,
0,large,deep,CORM_PUE,0,0,0
1,large,deep,CORM_PUE,,,
0,small,shallow,GUIL_PUE,0,0,0
1,small,shallow,GUIL_PUE,0,0,0
0,large,shallow,GUIL_PUE,6.20E-06,2.40E-06,1.08E-05
1,large,shallow,GUIL_PUE,0,0,0
0,small,deep,GUIL_PUE,,,
1,small,deep,GUIL_PUE,,,
0,large,deep,GUIL_PUE,1.19E-05,0,3.57E-05
1,large,deep,GUIL_PUE,,,
