Depth_cat,Mesh_cat,NightSet,tot_eff,prop,LEGAL,Response,mean,lcl,ucl
deep,large,0,331625,0.0811531012445046,yes,BPUE,0,0,0
shallow,all,1,74687.5,0.0182770365599666,yes,BPUE,0,0,0
shallow,large,0,3324345,0.813511967905503,no,BPUE,0.551324922759542,0.323863497582118,0.825326647632577
shallow,small,0,355754.416666667,0.0870578942900254,yes,BPUE,0.102492116134655,0,0.260735029806262
deep,large,0,331625,0.0811531012445046,yes,CORM_PUE,0,0,0
shallow,all,1,74687.5,0.0182770365599666,yes,CORM_PUE,0,0,0
shallow,large,0,3324345,0.813511967905503,no,CORM_PUE,0.334551564482857,0.165071948202484,0.548500356415655
shallow,small,0,355754.416666667,0.0870578942900254,yes,CORM_PUE,0.102446208380036,0,0.260735029806262
deep,large,0,331625,0.0811531012445046,yes,GUIL_PUE,0,0,0
shallow,all,1,74687.5,0.0182770365599666,yes,GUIL_PUE,0,0,0
shallow,large,0,3324345,0.813511967905503,no,GUIL_PUE,0.181798552932204,0.0767549446448494,0.311452293373366
shallow,small,0,355754.416666667,0.0870578942900254,yes,GUIL_PUE,0,0,0
