Response,mean,lcl,ucl,closure_depth
All birds,49.5182523626288,20.8774813783864,87.4152746169822,0
All birds,63.4707430222372,25.0449832614385,113.317861411771,10
All birds,37.6168613796241,1.03354820523907,87.9064029513408,20
All birds,40.7641558196694,0,98.4178933540615,30
All birds,0,0,0,40
fish,14314.0497261544,10132.3957592155,19316.842086641,0
fish,15248.6075311905,10104.2943556355,21603.9912552529,10
fish,13809.5953670018,7115.34010924123,22600.0331750596,20
fish,10232.1704307753,4964.26505134297,17293.6845037524,30
fish,10727.9076124666,3808.86390181487,21086.6308680936,40
Cormorants and shags,31.4524140353032,12.3835660557542,58.8315580158847,0
Cormorants and shags,40.915640992186,14.7392061203946,80.2201395270974,10
Cormorants and shags,20.9553391795548,0,61.4048429244759,20
Cormorants and shags,23.7432163452456,0,72.3070236886983,30
Cormorants and shags,0,0,0,40
Guillemots,15.5121106693077,2.86328606928203,35.8397120474057,0
Guillemots,19.429072639449,3.40794916155774,45.4649707284373,10
Guillemots,16.5231522675655,0,48.7186126238102,20
Guillemots,16.5904448796847,0,50.2132108949293,30
Guillemots,0,0,0,40
