boat,fishing_trip_id,trossa_id,EXP,start,effort,lat,lon,CPUE,BPUE,EPUE,GPUE,LPUE,birds_per_trossa,lumpfish_per_trossa,observer,depth,trossa_area,soaking_nights,bycatch_bin,dist_coast,jday
Kongsey,1,4,control,2022-03-21T06:30:00Z,2208.276,65.7972222222222,-21.2525,0.0271705167288872,0,0,0,0,0,60,0,49.3776,2208.276,1,0,3671.47088273855,80
Kongsey,1,5,control,2022-03-21T06:30:00Z,2208.276,65.825,-21.2683333333333,0.0149437842008879,0.000452841945481453,0,0,0,1,33,0,39.3192,2208.276,1,1,1799.04822956338,80
Kongsey,1,6,control,2022-03-21T06:30:00Z,2208.276,65.8194444444445,-21.2686111111111,0.0122267325279992,0,0,0,0,0,27,0,41.148,2208.276,1,0,2029.04091049803,80
Kongsey,1,7,control,2022-03-21T06:30:00Z,2208.276,65.8333333333333,-21.2675,0.0135852583644436,0,0,0,0,0,30,0,30.1752,2208.276,1,0,1471.50605355131,80
Kongsey,1,8,control,2022-03-21T06:30:00Z,2208.276,65.8361111111111,-21.2358333333333,0.0226420972740726,0,0,0,0,0,50,0,32.004,2208.276,1,0,2677.07859582699,80
Kongsey,1,9,control,2022-03-21T06:30:00Z,2208.276,65.8555555555556,-21.2477777777778,0.0181136778192581,0,0,0,0,0,40,0,44.8056,2208.276,1,0,1390.90424608467,80
Kongsey,1,RA,LEB,2022-03-21T06:30:00Z,2208.276,65.8333333333333,-21.2166666666667,0.0181136778192581,0,0,0,0,0,40,0,42.9768,2208.276,1,0,3600.81028091953,80
Kongsey,1,10,control,2022-03-21T06:30:00Z,2208.276,65.8305555555556,-21.25,0.0181136778192581,0,0,0,0,0,40,0,45.72,2208.276,1,0,2325.52928413169,80
Kongsey,1,11,control,2022-03-21T06:30:00Z,1324.9656,65.8194444444445,-21.2355555555556,0.0301894630320968,0,0,0,0,0,40,0,64.9224,1324.9656,1,0,3414.51232952307,80
Kongsey,1,12,control,2022-03-21T06:30:00Z,1324.9656,65.7833333333333,-21.2172222222222,0.0301894630320968,0,0,0,0,0,40,0,40.2336,1324.9656,1,0,5793.93931702866,80
Kongsey,1,13,control,2022-03-21T06:30:00Z,2208.276,65.7333333333333,-21.2191666666667,0.0135852583644436,0,0,0,0,0,30,0,62.1792,2208.276,1,0,5228.35874777479,80
Kongsey,1,2,control,2022-03-21T06:30:00Z,2208.276,65.7444444444445,-21.2333333333333,0.0135852583644436,0,0,0,0,0,30,0,32.9184,2208.276,1,0,4532.15969105907,80
Kongsey,1,14,control,2022-03-21T06:30:00Z,2208.276,65.7361111111111,-21.2344444444444,0.0135852583644436,0,0,0,0,0,30,0,37.4904,2208.276,1,0,4494.08642985444,80
Kongsey,1,15,control,2022-03-21T06:30:00Z,2208.276,65.7388888888889,-21.2686111111111,0.0158494680918508,0,0,0,0,0,35,0,24.6888,2208.276,1,0,2910.31368067976,80
Kongsey,1,1,control,2022-03-21T06:30:00Z,2208.276,65.7333333333333,-21.2672222222222,0.0113210486370363,0,0,0,0,0,25,0,37.4904,2208.276,1,0,3080.1018971028,80
