year,closure_depth,Baseline_bycatch,Reduced_bycatch,Reduction
2014,10,2711 - 8342,2011 - 7156,700 - 1185
2015,10,4309 - 13256,3196 - 11372,1112 - 1884
2016,10,3663 - 11270,2717 - 9668,946 - 1602
2017,10,3038 - 9347,2254 - 8018,784 - 1328
2018,10,3006 - 9247,2229 - 7932,776 - 1314
2019,10,3357 - 10328,2490 - 8860,866 - 1468
2020,10,3537 - 10883,2624 - 9336,913 - 1547
2021,10,5059 - 15564,3753 - 13352,1306 - 2212
2014,20,2711 - 8342,885 - 3841,1826 - 4501
2015,20,4309 - 13256,1406 - 6104,2902 - 7152
2016,20,3663 - 11270,1196 - 5189,2467 - 6081
2017,20,3038 - 9347,991 - 4304,2046 - 5043
2018,20,3006 - 9247,981 - 4257,2024 - 4989
2019,20,3357 - 10328,1096 - 4755,2261 - 5572
2020,20,3537 - 10883,1154 - 5011,2383 - 5872
2021,20,5059 - 15564,1651 - 7166,3407 - 8397
2014,30,2711 - 8342,428 - 2263,2283 - 6078
2015,30,4309 - 13256,680 - 3597,3628 - 9659
2016,30,3663 - 11270,578 - 3058,3085 - 8212
2017,30,3038 - 9347,479 - 2536,2558 - 6811
2018,30,3006 - 9247,474 - 2509,2531 - 6738
2019,30,3357 - 10328,530 - 2802,2827 - 7525
2020,30,3537 - 10883,558 - 2953,2979 - 7930
2021,30,5059 - 15564,798 - 4223,4260 - 11340
2014,40,2711 - 8342,127 - 1013,2583 - 7328
2015,40,4309 - 13256,203 - 1610,4106 - 11646
2016,40,3663 - 11270,172 - 1369,3490 - 9901
2017,40,3038 - 9347,143 - 1135,2895 - 8211
2018,40,3006 - 9247,141 - 1123,2864 - 8123
2019,40,3357 - 10328,158 - 1254,3199 - 9073
2020,40,3537 - 10883,166 - 1322,3371 - 9561
2021,40,5059 - 15564,238 - 1891,4821 - 13673
2014,50,2711 - 8342,0 - 0,2711 - 8342
2015,50,4309 - 13256,0 - 0,4309 - 13256
2016,50,3663 - 11270,0 - 0,3663 - 11270
2017,50,3038 - 9347,0 - 0,3038 - 9347
2018,50,3006 - 9247,0 - 0,3006 - 9247
2019,50,3357 - 10328,0 - 0,3357 - 10328
2020,50,3537 - 10883,0 - 0,3537 - 10883
2021,50,5059 - 15564,0 - 0,5059 - 15564
