year,tons,depth,depthcatch,effort,effort.lcl,effort.ucl,type,mean,lcl,ucl,bycatch,bycatch.ucl
2014,4074,0,529.62,4475729.41206807,12920986.8585597,1980549.04535859,birds,0.00019054543990872,0,0.000914036356357709,852.829829734908,1810.29383300731
2014,4074,10,1385.16,13941383.0424849,168311677.014279,5760515.73723655,birds,9.48229209157453e-05,0,0.000746047174436275,1321.96266169366,4297.61648906102
2014,4074,20,733.32,8121019.86281406,Inf,3110484.7055124,birds,4.58427006527247e-05,0,0.000442042260926385,372.289482565817,1374.96569180164
2014,4074,30,529.62,5747306.45701971,31780878.1753347,2100679.48788295,birds,2.36454506758886e-05,0,0.000275173834446459,135.897651348676,578.052029623777
2014,4074,40,407.4,4716359.24012413,10995977.9240984,2488985.65311892,birds,6.1325571051615e-06,0,0.000113061525204087,28.9233423685173,281.408514152715
2014,4074,50,488.88,4471031.24949792,17709924.4207824,2258265.50382519,birds,0,0,0,0,0
2015,6474,0,841.62,7112388.85953085,20532761.1493166,3147293.69652713,birds,0.00019054543990872,0,0.000914036356357709,1355.23326404119,2876.74086276124
2015,6474,10,2201.16,22154274.378264,267464358.613266,9154044.89024777,birds,9.48229209157453e-05,0,0.000746047174436275,2100.73300731585,6829.34932503217
2015,6474,20,1165.32,12905125.8202892,Inf,4942876.28460659,birds,4.58427006527247e-05,0,0.000442042260926385,591.605819865267,2184.96020832691
2015,6474,30,841.62,9133054.00165577,50503044.9943831,3338193.17735745,birds,2.36454506758886e-05,0,0.000275173834446459,215.955177916379,918.583416736458
2015,6474,40,647.4,7494774.10912214,17473726.3329929,3955251.13360135,birds,6.1325571051615e-06,0,0.000113061525204087,45.9621302144775,447.186725730161
2015,6474,50,776.88,7104923.00177946,28142869.5876645,3588613.37058524,birds,0,0,0,0,0
2016,5504,0,715.52,6046738.99951465,17456335.7068024,2675734.40001318,birds,0.00019054543990872,0,0.000914036356357709,1152.17854267573,2445.71852156903
